X,year,month,day,hour,season,PM2.5,O3,TEMP,PRES
113953,2023,3,1,0,1,4.00642781875659,54.5791944110905,2.8,1022
113954,2023,3,1,1,1,4.97955673358899,41.4801877524288,1.5,1023
113955,2023,3,1,2,1,3.98173265091073,2.18316777644362,1.1,1022
113956,2023,3,1,3,1,5.96824100556977,1.09158388822181,0.9,1022
113957,2023,3,1,4,1,6.94686581782566,1.09158388822181,0,1021
113958,2023,3,1,5,1,5.92248231220834,2.18316777644362,-1.2,1022
113959,2023,3,1,6,1,4.93358610567515,7.64108721755267,-1.3,1022
113960,2023,3,1,7,1,5.05937476501993,50.2128588582033,5.9,1023
113961,2023,3,1,8,1,6.07401968149039,56.7623621875341,6.3,1024
113962,2023,3,1,9,1,5.06266869095816,64.4034494050868,6.9,1026
113963,2023,3,1,10,1,5.07352114260009,70.9529527344176,7.5,1026
113964,2023,3,1,11,1,4.06749887539361,75.3192882873049,8.1,1026
113965,2023,3,1,12,1,4.07328684960264,76.4108721755267,8.5,1026
113966,2023,3,1,13,1,5.11649155722326,77.5024560637485,9.6,1025
113967,2023,3,1,14,1,4.10912570356473,78.5940399519703,10.7,1025
113968,2023,3,1,15,1,4.12038762019231,79.6856238401921,11.2,1024
113969,2023,3,1,16,1,4.11893780048077,79.6856238401921,11.1,1024
113970,2023,3,1,17,1,4.11168870192308,79.6856238401921,10.6,1024
113971,2023,3,1,18,1,4.09719050480769,77.5024560637485,9.6,1024
113972,2023,3,1,19,1,4.0598799249531,67.6782010697522,7.3,1025
113973,2023,3,1,20,1,5.03011133603239,66.5866171815304,5.1,1026
113974,2023,3,1,21,1,5.99706477732794,58.9455299639777,3.3,1026
113975,2023,3,1,22,1,6.9315781589394,45.846523305316,1,1027
113976,2023,3,1,23,1,6.90122088233091,45.846523305316,-0.2,1027
113977,2023,3,2,0,1,7.86108905699948,31.6559327584325,-1.1,1027
113978,2023,3,2,1,1,8.83722005842259,38.2054360877633,-1.3,1027
113979,2023,3,2,2,1,8.8079469702644,28.3811810937671,-2.2,1027
113980,2023,3,2,3,1,9.79976383265857,22.923261652658,-2.1,1026
